年度,事件名稱,災害類型,縣市,鄉鎮,村里,災害地點,速報連結,災害時間,審查會議日期
106,0601豪雨,"土石流,崩塌",南投縣,埔里鎮,蜈蚣里,"台 14 線 61K+800 
(埔霧公路) ",https://246.swcb.gov.tw/AllFiles/PDF/05.106年0601豪雨-南投埔里-001(摘).pdf,20170603,2017-12-06 00:00:00
106,0601豪雨,"沖蝕,崩塌",南投縣,仁愛鄉,春陽村,台 14 線 87K ,https://246.swcb.gov.tw/AllFiles/PDF/06.106年0601豪雨-南投仁愛-001(摘).pdf,20170603,2017-12-06 00:00:00
106,0601豪雨,崩塌,南投縣,仁愛鄉,榮興村,台 8 線 97.7K ,https://246.swcb.gov.tw/AllFiles/PDF/08.106年0601豪雨-南投仁愛-002(摘).pdf,20170602,2017-12-06 00:00:00
106,0601豪雨,"土石流,崩塌",新北市,金山區,永興里,濆水路,https://246.swcb.gov.tw/AllFiles/PDF/01.106年0601豪雨-新北金山-001(摘).pdf,20170602,2017-12-06 00:00:00
105,其他,沖蝕,基隆市,仁愛區,龍門里,龍安街 332 巷 30 號,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-基隆仁愛-001.pdf,20161010,2016-12-08 00:00:00
105,其他,沖蝕,新北市,汐止區,白雲里,水源路二段 72 巷 71 弄,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-新北汐止-001.pdf,20161009,2016-12-08 00:00:00
105,其他,沖蝕,新竹縣,尖石鄉,秀巒村,秀巒國小對岸邊坡,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-新竹尖石-001.pdf,20161001,2016-12-08 00:00:00
105,梅姬颱風,崩塌,桃園市,復興區,高義里,內奎輝 9 鄰 8 號民宅,https://246.swcb.gov.tw/AllFiles/PDF/105年梅姬颱風-桃園復興-001(摘)-.pdf,20160928,2016-12-08 00:00:00
105,梅姬颱風,"沖蝕,崩塌",高雄市,燕巢區,東燕里,中民路 61 巷 3-22 號,https://246.swcb.gov.tw/AllFiles/PDF/105年梅姬颱風-高雄燕巢-001(摘).pdf,20160928,2016-12-08 00:00:00
105,梅姬颱風,沖蝕,嘉義縣,竹崎鄉,金獅村,金獅村 9 鄰旁古厝,https://246.swcb.gov.tw/AllFiles/PDF/105年梅姬颱風-嘉義竹崎-001(摘).pdf,20160928,2016-12-08 00:00:00
105,梅姬颱風,崩塌,高雄市,旗山區,新光里,後厝巷 27 號,https://246.swcb.gov.tw/AllFiles/PDF/105年梅姬颱風-高雄旗山-001(摘).pdf,20160928,2016-12-08 00:00:00
105,梅姬颱風,土石流,嘉義縣,竹崎鄉,緞繻村,緞繻村紅南坑 8 號,https://246.swcb.gov.tw/AllFiles/PDF/105年梅姬颱風-嘉義竹崎-002.pdf,20160927,2016-12-08 00:00:00
105,梅姬颱風,洪水,高雄市,六龜區,荖濃里,頂濃路 31 號,https://246.swcb.gov.tw/AllFiles/PDF/105年梅姬颱風-高雄六龜-001(摘).pdf,20160927,2016-12-08 00:00:00
105,梅姬颱風,土石流,新北市,新店區,雙坑里,中生路 175 號,https://246.swcb.gov.tw/AllFiles/PDF/105年梅姬颱風-新北新店-001.pdf,20160927,2016-12-08 00:00:00
105,莫蘭蒂颱風,沖蝕,臺東縣,大武鄉,大竹村,愛國蒲部落,https://246.swcb.gov.tw/AllFiles/PDF/105年莫蘭蒂颱風-台東大武-001.pdf,20160915,2016-12-08 00:00:00
105,莫蘭蒂颱風,沖蝕,臺東縣,延平鄉,紅葉村,紅葉村,https://246.swcb.gov.tw/AllFiles/PDF/105年莫蘭蒂颱風-台東延平-001.pdf,20160915,2016-12-08 00:00:00
